No of Persons,25Trials,100Trials,1000Trials,Theoritical
1,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.200000,0.273973
3,0.000000,1.000000,1.700000,0.820410
4,0.000000,1.000000,2.200000,1.635581
5,0.000000,3.000000,3.100000,2.713549
6,0.000000,5.000000,5.000000,4.046237
7,12.000000,9.000000,7.500000,5.623561
8,4.000000,9.000000,9.099999,7.433522
9,8.000000,9.000000,10.500000,9.462375
10,4.000000,10.000000,12.600000,11.694813
11,4.000000,12.000000,13.700000,14.114130
12,8.000000,17.000000,17.600000,16.702473
13,16.000000,20.000000,20.299999,19.441021
14,12.000000,25.000000,22.200001,22.310246
15,16.000000,23.000000,24.699999,25.290125
16,12.000000,30.000002,28.099998,28.360397
17,20.000000,32.000000,30.300001,31.500763
18,36.000000,38.000000,33.599998,34.691135
19,32.000000,39.000000,36.599998,37.911850
20,28.000000,41.000000,40.599998,41.143833
21,28.000000,42.000000,43.700001,44.368828
22,40.000000,46.000000,46.799999,47.569527
23,40.000000,47.000000,48.400002,50.729717
24,52.000000,56.000000,51.500000,53.834415
25,40.000000,52.999996,54.900002,56.869961
26,60.000004,64.000000,58.000000,59.824074
27,68.000000,70.000000,60.900002,62.685921
28,60.000004,70.000000,64.099998,65.446136
29,64.000000,71.000000,66.399994,68.096855
30,60.000004,73.000000,70.300003,70.631622
31,68.000000,72.000000,72.599998,73.045456
32,72.000000,81.000000,76.099998,75.334755
33,80.000000,86.000000,78.500000,77.497185
34,76.000000,85.000000,81.300003,79.531685
35,80.000000,85.000000,84.000000,81.438324
36,80.000000,86.000000,82.500000,83.218208
37,76.000000,84.000000,84.899994,84.873405
38,72.000000,86.000000,84.699997,86.406776
39,88.000000,94.000000,88.599998,87.821968
40,84.000000,88.000000,88.800003,89.123177
41,92.000000,91.000000,90.800003,90.315163
42,92.000000,93.000000,92.000000,91.403046
43,88.000000,93.000000,92.599998,92.392281
44,96.000000,97.000000,93.900002,93.288536
45,84.000000,94.000000,93.900002,94.097588
46,96.000000,98.000000,95.300003,94.825287
47,88.000000,93.000000,95.400002,95.477440
48,88.000000,95.000000,95.700005,96.059799
49,92.000000,97.000000,97.099998,96.577957
50,96.000000,97.000000,97.199997,97.037354
51,96.000000,98.000000,97.899994,97.443199
52,96.000000,97.000000,97.699997,97.800453
53,100.000000,98.000000,98.299995,98.113808
54,100.000000,100.000000,99.000000,98.387695
55,100.000000,100.000000,99.099998,98.626228
56,100.000000,99.000000,99.400002,98.833237
57,96.000000,99.000000,99.599998,99.012245
58,100.000000,100.000000,99.199997,99.166504
59,100.000000,100.000000,99.599998,99.298943
60,100.000000,99.000000,99.500000,99.412270
61,100.000000,100.000000,99.800003,99.508881
62,100.000000,100.000000,99.900002,99.590958
63,100.000000,100.000000,99.800003,99.660439
64,100.000000,100.000000,99.900002,99.719048
65,100.000000,100.000000,99.699997,99.768311
66,100.000000,100.000000,99.900002,99.809570
67,100.000000,100.000000,99.800003,99.844002
68,100.000000,100.000000,100.000000,99.872635
69,100.000000,100.000000,99.900002,99.896362
70,100.000000,100.000000,100.000000,99.915955
71,100.000000,100.000000,100.000000,99.932076
72,100.000000,100.000000,99.900002,99.945290
73,100.000000,100.000000,100.000000,99.956085
74,100.000000,100.000000,100.000000,99.964867
75,100.000000,100.000000,100.000000,99.971985
76,100.000000,100.000000,100.000000,99.977745
77,100.000000,100.000000,100.000000,99.982384
78,100.000000,100.000000,100.000000,99.986092
79,100.000000,100.000000,100.000000,99.989067
80,100.000000,100.000000,100.000000,99.991432
81,100.000000,100.000000,100.000000,99.993309
82,100.000000,100.000000,100.000000,99.994797
83,100.000000,100.000000,100.000000,99.995964
84,100.000000,100.000000,100.000000,99.996880
85,100.000000,100.000000,100.000000,99.997597
86,100.000000,100.000000,100.000000,99.998161
87,100.000000,100.000000,100.000000,99.998596
88,100.000000,100.000000,100.000000,99.998924
89,100.000000,100.000000,100.000000,99.999191
90,100.000000,100.000000,100.000000,99.999390
91,100.000000,100.000000,100.000000,99.999535
92,100.000000,100.000000,100.000000,99.999657
93,100.000000,100.000000,100.000000,99.999741
94,100.000000,100.000000,100.000000,99.999802
95,100.000000,100.000000,100.000000,99.999855
96,100.000000,100.000000,100.000000,99.999893
97,100.000000,100.000000,100.000000,99.999924
98,100.000000,100.000000,100.000000,99.999939
99,100.000000,100.000000,100.000000,99.999962
100,100.000000,100.000000,100.000000,99.999969
